SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,108 Marietta Dr,SAN FRANCISCO,CA,94127,1095000,3,2.0,SAN FRANCISCO,1106,2509,1943,10,990,,Active,,,http://www.redfin.com/CA/San-Francisco/108-Marietta-Dr-94127/home/1412362,MLSListings,ML81864123,N,Y,37.7409698,-122.4484268
MLS Listing,,Single Family Residential,111 States St,SAN FRANCISCO,CA,94114,1995000,3,2.5,SAN FRANCISCO,1794,1437,1931,19,1112,,Active,,,http://www.redfin.com/CA/San-Francisco/111-States-St-94114/home/1557402,MLSListings,ML81862760,N,Y,37.7631832,-122.4376521
MLS Listing,,Condo/Co-op,249 Shipley St #2,San Francisco,CA,94107,768000,1,1.5,San Francisco,892,5591,1999,24,861,754,Active,,,http://www.redfin.com/CA/San-Francisco/249-Shipley-94107/unit-2/home/12396891,San Francisco MLS,421593818,N,Y,37.7788907,-122.40378
MLS Listing,,Single Family Residential,669 Marina Blvd,San Francisco,CA,94123,8998000,5,5.0,San Francisco,4752,4944,1931,24,1894,,Active,,,http://www.redfin.com/CA/San-Francisco/669-Marina-Blvd-94123/home/582205,San Francisco MLS,421593475,N,Y,37.8052133,-122.4449164
MLS Listing,,Condo/Co-op,1816 23rd St,San Francisco,CA,94107,899000,2,1.0,San Francisco,1134,6825,1988,25,793,600,Active,,,http://www.redfin.com/CA/San-Francisco/1816-23rd-St-94107/home/1874262,San Francisco MLS,421591828,N,Y,37.7549818,-122.3980981
MLS Listing,,Condo/Co-op,2831 Polk St #1,San Francisco,CA,94109,2250000,2,2.5,San Francisco,1461,,1924,25,1540,538,Active,,,http://www.redfin.com/CA/San-Francisco/2831-Polk-St-94109/unit-1/home/39591886,San Francisco MLS,421592728,N,Y,37.8028958,-122.4234306
MLS Listing,,Single Family Residential,542 27th Ave,SAN FRANCISCO,CA,94121,2995000,3,4.0,SAN FRANCISCO,3810,2400,1999,27,786,,Active,,,http://www.redfin.com/CA/San-Francisco/542-27th-Ave-94121/home/2007755,MLSListings,ML81861532,N,Y,37.7791442,-122.4865593
MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,56167,1907,27,1116,651,Active,,,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
MLS Listing,,Condo/Co-op,253 Oak St,San Francisco,CA,94102,999000,2,1.0,San Francisco,1000,,1912,28,999,315,Active,,,http://www.redfin.com/CA/San-Francisco/253-Oak-St-94102/home/40615584,San Francisco MLS,421591920,N,Y,37.7747818,-122.4234512
MLS Listing,,Condo/Co-op,2000 Ellis St #205,San Francisco,CA,94115,749000,1,1.0,San Francisco,595,8090,2013,42,1259,466,Active,,,http://www.redfin.com/CA/San-Francisco/2000-Ellis-St-94115/unit-205/home/55244549,San Francisco MLS,421587794,N,Y,37.7816364,-122.439602
MLS Listing,,Condo/Co-op,1998 Broadway #807,San Francisco,CA,94109,1350000,2,2.0,San Francisco,1030,15195,1964,54,1311,1288,Active,,,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-807/home/1865773,San Francisco MLS,421583886,N,Y,37.7953251,-122.4298254
